District,School,School Type,Overall Points,Overall Possible,Grade,All Students Participation,Below Proficient Participation,Growth ELA All Students,Growth ELA All Students Possible,Growth Math All Students,Growth Math All Students Possible,Growth Science All Students,Growth Science All Students Possible,Growth ELA Below Proficient,Growth ELA Below Proficient Possible,Growth Math Below Proficient,Growth Math Below Proficient Possible,Growth Science Below Proficient,Growth Science Below Proficient Possible,ELA Proficient,ELA Proficient Possible,Math Proficient,Math Proficient Possible,Science Proficient,Science Proficient Possible,College Career Readiness GRAD,College Career Readiness GRAD Possible,Number of Students Meeting All Four CCR Benchmarks ACT,College Career Readiness ACT Possible
ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),High School Report,566,900,B,100%,100%,36,50,33,50,37,50,28,50,31,50,40,50,57,100,43,100,58,100,146,150,57,150
ALIANZA ACADEMY,ALIANZA ACADEMY,Elem/Middle/Jr High School,145,600,F,98.53%,99.54%,14,50,16,50,18,50,13,50,17,50,15,50,20,100,14,100,18,100,NA,NA,NA,NA
ALPINE DISTRICT,ALPINE ONLINE SCHOOL,Elem/Middle/Jr High School,277,600,C,98.71%,98.86%,21,50,31,50,29,50,23,50,35,50,33,50,39,100,30,100,36,100,NA,NA,NA,NA
ALPINE DISTRICT,ALPINE SCHOOL,Elem/Middle/Jr High School,344,600,B,99.7%,99.19%,33,50,35,50,25,50,35,50,35,50,32,50,49,100,45,100,55,100,NA,NA,NA,NA
ALPINE DISTRICT,AMERICAN FORK HIGH,High School Report,534,900,B,96.99%,96.86%,33,50,36,50,37,50,30,50,25,50,30,50,52,100,37,100,60,100,134,150,60,150
ALPINE DISTRICT,AMERICAN FORK JR HIGH,Elem/Middle/Jr High School,373,600,B,99.63%,99.01%,34,50,37,50,31,50,33,50,38,50,33,50,51,100,58,100,58,100,NA,NA,NA,NA
ALPINE DISTRICT,ASPEN SCHOOL,Elem/Middle/Jr High School,319,600,B,100%,100%,34,50,30,50,31,50,36,50,25,50,29,50,45,100,48,100,41,100,NA,NA,NA,NA
ALPINE DISTRICT,BARRATT SCHOOL,Elem/Middle/Jr High School,397,600,A,99.77%,100%,38,50,35,50,30,50,39,50,38,50,41,50,58,100,55,100,63,100,NA,NA,NA,NA
ALPINE DISTRICT,BONNEVILLE SCHOOL,Elem/Middle/Jr High School,315,600,B,100%,100%,31,50,30,50,30,50,34,50,29,50,31,50,44,100,42,100,44,100,NA,NA,NA,NA
ALPINE DISTRICT,CANYON VIEW JR HIGH,Elem/Middle/Jr High School,339,600,B,99.61%,99.8%,34,50,30,50,32,50,32,50,31,50,29,50,51,100,47,100,53,100,NA,NA,NA,NA
ALPINE DISTRICT,CASCADE SCHOOL,Elem/Middle/Jr High School,323,600,B,99.8%,100%,31,50,35,50,25,50,29,50,26,50,25,50,53,100,54,100,45,100,NA,NA,NA,NA
ALPINE DISTRICT,CEDAR RIDGE SCHOOL,Elem/Middle/Jr High School,417,600,A,99.87%,100%,38,50,38,50,32,50,39,50,44,50,33,50,63,100,64,100,66,100,NA,NA,NA,NA
ALPINE DISTRICT,CEDAR VALLEY SCHOOL,Elem/Middle/Jr High School,283,600,C,100%,100%,39,50,37,50,32,50,47,50,37,50,31,50,27,100,12,100,21,100,NA,NA,NA,NA
ALPINE DISTRICT,CENTRAL SCHOOL,Elem/Middle/Jr High School,336,600,B,99.86%,100%,33,50,35,50,30,50,25,50,30,50,38,50,43,100,50,100,52,100,NA,NA,NA,NA
ALPINE DISTRICT,CHERRY HILL GT PROGRAM,Elem/Middle/Jr High School,544,600,A,100%,,82,100,92,100,84,100,NA,NA,NA,NA,NA,NA,96,100,94,100,96,100,NA,NA,NA,NA
ALPINE DISTRICT,CHERRY HILL SCHOOL,Elem/Middle/Jr High School,269,600,C,100%,100%,24,50,36,50,27,50,27,50,27,50,27,50,30,100,37,100,34,100,NA,NA,NA,NA
ALPINE DISTRICT,DAN W. PETERSON,Elem/Middle/Jr High School,392,600,A,100%,100%,31,50,29,50,26,50,NA,NA,NA,NA,100,150,74,100,70,100,62,100,NA,NA,NA,NA
ALPINE DISTRICT,DAN W. PETERSON,High School Report,0,0,,100%,100%,86,100,14,100,57,100,NA,NA,NA,NA,NA,NA,93,100,79,100,86,100,NA,NA,NA,NA
ALPINE DISTRICT,DEERFIELD SCHOOL,Elem/Middle/Jr High School,428,600,A,99.81%,100%,36,50,40,50,34,50,41,50,40,50,45,50,61,100,65,100,66,100,NA,NA,NA,NA
ALPINE DISTRICT,EAGLE VALLEY SCHOOL,Elem/Middle/Jr High School,285,600,C,99.91%,100%,24,50,29,50,24,50,27,50,27,50,26,50,40,100,46,100,42,100,NA,NA,NA,NA
ALPINE DISTRICT,EAGLECREST SCHOOL,Elem/Middle/Jr High School,364,600,B,99.87%,99.46%,40,50,31,50,25,50,43,50,36,50,29,50,53,100,48,100,59,100,NA,NA,NA,NA
